order_month,total_revenue,order_count,customer_count,arpu
2016-10,46566.71,265,262,177.73553435114505
2016-12,19.62,1,1,19.62
2017-01,127545.67,750,718,177.64020891364902
2017-02,271298.65,1653,1630,166.44088957055217
2017-03,414369.39,2546,2508,165.21905502392346
2017-04,390952.18,2303,2274,171.92268249780122
2017-05,567066.73,3546,3479,162.9970480022995
2017-06,490225.6,3135,3076,159.3711313394018
2017-07,566403.93,3872,3802,148.9752577590742
2017-08,646000.61,4193,4114,157.02494166261545
2017-09,701169.99,4150,4083,171.72911829537105
2017-10,751140.27,4478,4417,170.05666062938647
2017-11,1153528.05,7289,7183,160.5914033133788
2017-12,843199.17,5513,5450,154.71544403669725
2018-01,1078606.86,7069,6974,154.66114998566104
2018-02,966510.88,6555,6400,151.017325
2018-03,1120678.0,7003,6914,162.08822678623085
2018-04,1132933.95,6798,6744,167.99139234875443
2018-05,1128836.69,6749,6693,168.6592992678918
2018-06,1012090.68,6099,6061,166.98410823296487
2018-07,1027903.86,6159,6100,168.50882950819673
2018-08,985414.28,6351,6310,156.16708082408874
