join_year,difficulty,viewed_count,fail_count,fail_rate
2013,0,153,153,100.0
2013,5,177,61,34.5
2013,7,101,10,9.9
2013,10,365,163,44.7
2013,20,28,10,35.7
2014,0,394,394,100.0
2014,5,380,127,33.4
2014,7,244,34,13.9
2014,10,915,408,44.6
2014,20,84,23,27.4
2015,0,995,995,100.0
2015,5,1079,252,23.4
2015,7,598,74,12.4
2015,10,2346,663,28.3
2015,20,247,63,25.5
2016,0,1965,1965,100.0
2016,5,2014,396,19.7
2016,7,1241,127,10.2
2016,10,4542,1071,23.6
2016,20,542,107,19.7
2017,0,3588,3588,100.0
2017,5,3671,1370,37.3
2017,7,2382,750,31.5
2017,10,8120,3459,42.6
2017,20,892,374,41.9
2018,0,2214,2214,100.0
2018,5,2397,1353,56.4
2018,7,1556,814,52.3
2018,10,5298,3306,62.4
2018,20,607,351,57.8
